playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2016,1,HOU,AL,161,640,108,216,42,5,24,96.0,30.0,10.0,60,70.0,11.0,7.0,3.0,7.0,15.0
bregmal01,2016,1,HOU,AL,49,201,31,53,13,3,8,34.0,2.0,0.0,15,52.0,0.0,0.0,0.0,1.0,1.0
castrja01,2016,1,HOU,AL,113,329,41,69,16,3,11,32.0,2.0,1.0,45,123.0,0.0,1.0,1.0,0.0,9.0
correca01,2016,1,HOU,AL,153,577,76,158,36,3,20,96.0,13.0,3.0,75,139.0,5.0,5.0,0.0,3.0,12.0
gattiev01,2016,1,HOU,AL,128,447,58,112,19,0,32,72.0,2.0,1.0,43,127.0,6.0,4.0,0.0,5.0,12.0
gomezca01,2016,1,HOU,AL,85,295,27,62,16,1,5,29.0,13.0,2.0,21,100.0,2.0,4.0,3.0,0.0,11.0
gonzama01,2016,1,HOU,AL,141,484,55,123,26,3,13,51.0,12.0,6.0,22,118.0,1.0,5.0,6.0,1.0,16.0
gourryu01,2016,1,HOU,AL,36,130,13,34,7,0,3,15.0,1.0,1.0,5,12.0,0.0,1.0,0.0,1.0,7.0
kempto01,2016,1,HOU,AL,59,120,15,26,4,3,1,7.0,2.0,1.0,14,27.0,0.0,0.0,1.0,1.0,5.0
marisja01,2016,1,HOU,AL,118,287,40,60,18,1,5,21.0,10.0,5.0,16,83.0,0.0,3.0,4.0,1.0,4.0
rasmuco01,2016,1,HOU,AL,107,369,38,76,10,0,15,54.0,4.0,1.0,43,121.0,0.0,0.0,1.0,4.0,5.0
reedaj01,2016,1,HOU,AL,45,122,11,20,3,0,3,8.0,0.0,0.0,18,48.0,0.0,0.0,0.0,1.0,1.0
springe01,2016,1,HOU,AL,162,644,116,168,29,5,29,82.0,9.0,10.0,88,178.0,2.0,11.0,0.0,1.0,12.0
tuckepr01,2016,1,HOU,AL,48,134,11,22,8,1,4,8.0,0.0,0.0,8,40.0,0.0,2.0,0.0,0.0,2.0
valbulu01,2016,1,HOU,AL,90,292,38,76,17,1,13,40.0,1.0,1.0,44,81.0,2.0,1.0,3.0,2.0,5.0
whitety01,2016,1,HOU,AL,86,249,24,54,16,0,8,28.0,1.0,0.0,23,65.0,1.0,2.0,0.0,2.0,6.0
