playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2014,1,HOU,AL,158,660,85,225,47,3,7,59.0,56.0,9.0,36,53.0,7.0,5.0,1.0,5.0,20.0
cartech02,2014,1,HOU,AL,145,507,68,115,21,1,37,88.0,5.0,2.0,56,182.0,6.0,5.0,0.0,4.0,12.0
castrja01,2014,1,HOU,AL,126,465,43,103,21,2,14,56.0,1.0,0.0,34,151.0,1.0,9.0,1.0,3.0,11.0
corpoca01,2014,1,HOU,AL,55,170,22,40,6,0,6,19.0,0.0,0.0,14,37.0,0.0,3.0,1.0,2.0,3.0
dominma01,2014,1,HOU,AL,157,564,51,121,17,0,16,57.0,0.0,1.0,29,125.0,2.0,5.0,2.0,7.0,23.0
fowlede01,2014,1,HOU,AL,116,434,61,120,21,4,8,35.0,11.0,4.0,66,108.0,2.0,3.0,1.0,1.0,6.0
gonzama01,2014,1,HOU,AL,103,285,33,79,15,1,6,23.0,2.0,4.0,17,58.0,0.0,4.0,4.0,0.0,6.0
grossro01,2014,1,HOU,AL,103,360,42,84,14,2,6,37.0,9.0,3.0,55,105.0,1.0,2.0,3.0,2.0,7.0
guzmaje01,2014,1,HOU,AL,69,165,10,31,4,0,2,9.0,3.0,0.0,19,52.0,0.0,0.0,0.0,0.0,4.0
hoeslj01,2014,1,HOU,AL,55,122,12,21,5,0,3,11.0,0.0,0.0,10,31.0,0.0,0.0,1.0,3.0,5.0
krausma01,2014,1,HOU,AL,67,186,16,36,6,0,6,21.0,0.0,0.0,21,54.0,0.0,1.0,0.0,0.0,7.0
marisja01,2014,2,HOU,AL,51,173,18,47,8,0,3,19.0,6.0,3.0,5,48.0,2.0,3.0,2.0,3.0,2.0
preslal01,2014,1,HOU,AL,89,254,22,62,6,1,6,19.0,5.0,1.0,13,44.0,0.0,1.0,1.0,2.0,3.0
singljo02,2014,1,HOU,AL,95,310,42,52,13,0,13,44.0,2.0,3.0,50,134.0,1.0,1.0,0.0,1.0,4.0
springe01,2014,1,HOU,AL,78,295,45,68,8,1,20,51.0,5.0,2.0,39,114.0,4.0,9.0,0.0,2.0,4.0
villajo01,2014,1,HOU,AL,87,263,31,55,13,2,7,27.0,17.0,4.0,19,80.0,1.0,2.0,4.0,1.0,4.0
