Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),36,26,28,90
2,Soviet Union (URS),30,31,35,96
3,Japan (JPN),16,5,8,29
4,United Team of Germany (EUA),10,22,18,50
5,Italy (ITA),10,10,7,27
6,Hungary (HUN),10,7,5,22
7,Poland (POL),7,6,10,23
8,Australia (AUS),6,2,10,18
9,Czechoslovakia (TCH),5,6,3,14
10,Great Britain (GBR),4,12,2,18
11,Bulgaria (BUL),3,5,2,10
12,Finland (FIN),3,0,2,5
12,New Zealand (NZL),3,0,2,5
14,Romania (ROU),2,4,6,12
15,Netherlands (NED),2,4,4,10
16,Turkey (TUR),2,3,1,6
17,Sweden (SWE),2,2,4,8
18,Denmark (DEN),2,1,3,6
19,Yugoslavia (YUG),2,1,2,5
20,Belgium (BEL),2,0,1,3
21,France (FRA),1,8,6,15
22,Canada (CAN),1,2,1,4
22,Switzerland (SUI),1,2,1,4
24,Bahamas (BAH),1,0,0,1
24,Ethiopia (ETH),1,0,0,1
24,India (IND),1,0,0,1
27,South Korea (KOR),0,2,1,3
28,Trinidad and Tobago (TRI),0,1,2,3
29,Tunisia (TUN),0,1,1,2
30,Argentina (ARG),0,1,0,1
30,Cuba (CUB),0,1,0,1
30,Pakistan (PAK),0,1,0,1
30,Philippines (PHI),0,1,0,1
34,Iran (IRI),0,0,2,2
35,Brazil (BRA),0,0,1,1
35,Ghana (GHA),0,0,1,1
35,Ireland (IRL),0,0,1,1
35,Kenya (KEN),0,0,1,1
35,Mexico (MEX),0,0,1,1
35,Nigeria (NGR),0,0,1,1
35,Uruguay (URU),0,0,1,1
