Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),83,61,30,174
2,Romania (ROU),20,16,17,53
3,West Germany (FRG),17,19,23,59
4,China (CHN),15,8,9,32
5,Italy (ITA),14,6,12,32
6,Canada (CAN),10,18,16,44
7,Japan (JPN),10,8,14,32
8,New Zealand (NZL),8,1,2,11
9,Yugoslavia (YUG),7,4,7,18
10,South Korea (KOR),6,6,7,19
11,Great Britain (GBR),5,11,21,37
12,France (FRA),5,7,16,28
13,Netherlands (NED),5,2,6,13
14,Australia (AUS),4,8,12,24
15,Finland (FIN),4,2,6,12
16,Sweden (SWE),2,11,6,19
17,Mexico (MEX),2,3,1,6
18,Morocco (MAR),2,0,0,2
19,Brazil (BRA),1,5,2,8
20,Spain (ESP),1,2,2,5
21,Belgium (BEL),1,1,2,4
22,Austria (AUT),1,1,1,3
23,Kenya (KEN),1,0,2,3
23,Portugal (POR),1,0,2,3
25,Pakistan (PAK),1,0,0,1
26,Switzerland (SUI),0,4,4,8
27,Denmark (DEN),0,3,3,6
28,Jamaica (JAM),0,1,2,3
28,Norway (NOR),0,1,2,3
30,Greece (GRE),0,1,1,2
30,Nigeria (NGR),0,1,1,2
30,Puerto Rico (PUR),0,1,1,2
33,Colombia (COL),0,1,0,1
33,Egypt (EGY),0,1,0,1
33,Ireland (IRL),0,1,0,1
33,Ivory Coast (CIV),0,1,0,1
33,Peru (PER),0,1,0,1
33,Syria (SYR),0,1,0,1
33,Thailand (THA),0,1,0,1
40,Turkey (TUR),0,0,3,3
40,Venezuela (VEN),0,0,3,3
42,Algeria (ALG),0,0,2,2
43,Cameroon (CMR),0,0,1,1
43,Chinese Taipei (TPE),0,0,1,1
43,Dominican Republic (DOM),0,0,1,1
43,Iceland (ISL),0,0,1,1
43,Zambia (ZAM),0,0,1,1
