Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),55,31,46,132
2,East Germany (GDR),37,35,30,102
3,United States (USA),36,31,27,94
4,South Korea (KOR),12,10,11,33
5,West Germany (FRG),11,14,15,40
6,Hungary (HUN),11,6,6,23
7,Bulgaria (BUL),10,12,13,35
8,Romania (ROU),7,11,6,24
9,France (FRA),6,4,6,16
10,Italy (ITA),6,4,4,14
11,China (CHN),5,11,12,28
12,Great Britain (GBR),5,10,9,24
13,Kenya (KEN),5,2,2,9
14,Japan (JPN),4,3,7,14
15,Australia (AUS),3,6,5,14
16,Yugoslavia (YUG),3,4,5,12
17,Czechoslovakia (TCH),3,3,2,8
18,New Zealand (NZL),3,2,8,13
19,Canada (CAN),3,2,5,10
20,Poland (POL),2,5,9,16
21,Norway (NOR),2,3,0,5
22,Netherlands (NED),2,2,5,9
23,Denmark (DEN),2,1,1,4
24,Brazil (BRA),1,2,3,6
25,Finland (FIN),1,1,2,4
25,Spain (ESP),1,1,2,4
27,Turkey (TUR),1,1,0,2
28,Morocco (MAR),1,0,2,3
29,Austria (AUT),1,0,0,1
29,Portugal (POR),1,0,0,1
29,Suriname (SUR),1,0,0,1
32,Sweden (SWE),0,4,7,11
33,Switzerland (SUI),0,2,2,4
34,Jamaica (JAM),0,2,0,2
35,Argentina (ARG),0,1,1,2
36,Chile (CHI),0,1,0,1
36,Costa Rica (CRC),0,1,0,1
36,Indonesia (INA),0,1,0,1
36,Iran (IRI),0,1,0,1
36,Netherlands Antilles (AHO),0,1,0,1
36,Peru (PER),0,1,0,1
36,Senegal (SEN),0,1,0,1
36,Virgin Islands (ISV),0,1,0,1
44,Belgium (BEL),0,0,2,2
44,Mexico (MEX),0,0,2,2
46,Colombia (COL),0,0,1,1
46,Djibouti (DJI),0,0,1,1
46,Greece (GRE),0,0,1,1
46,Mongolia (MGL),0,0,1,1
46,Pakistan (PAK),0,0,1,1
46,Philippines (PHI),0,0,1,1
46,Thailand (THA),0,0,1,1
