Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),80,69,46,195
2,East Germany (GDR),47,37,42,126
3,Bulgaria (BUL),8,16,17,41
4,Cuba (CUB),8,7,5,20
5,Italy (ITA),8,3,4,15
6,Hungary (HUN),7,10,15,32
7,Romania (ROU),6,6,13,25
8,France (FRA),6,5,3,14
9,Great Britain (GBR),5,7,9,21
10,Poland (POL),3,14,15,32
11,Sweden (SWE),3,3,6,12
12,Finland (FIN),3,1,4,8
13,Czechoslovakia (TCH),2,3,9,14
14,Yugoslavia (YUG),2,3,4,9
15,Australia (AUS),2,2,5,9
16,Denmark (DEN),2,1,2,5
17,Brazil (BRA),2,0,2,4
17,Ethiopia (ETH),2,0,2,4
19,Switzerland (SUI),2,0,0,2
20,Spain (ESP),1,3,2,6
21,Austria (AUT),1,2,1,4
22,Greece (GRE),1,0,2,3
23,Belgium (BEL),1,0,0,1
23,India (IND),1,0,0,1
23,Zimbabwe (ZIM),1,0,0,1
26,North Korea (PRK),0,3,2,5
27,Mongolia (MGL),0,2,2,4
28,Tanzania (TAN),0,2,0,2
29,Mexico (MEX),0,1,3,4
30,Netherlands (NED),0,1,2,3
31,Ireland (IRL),0,1,1,2
32,Uganda (UGA),0,1,0,1
32,Venezuela (VEN),0,1,0,1
34,Jamaica (JAM),0,0,3,3
35,Guyana (GUY),0,0,1,1
35,Lebanon (LIB),0,0,1,1
