Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),41,32,30,103
2,Italy (ITA),12,12,12,36
3,France (FRA),10,5,4,19
4,Sweden (SWE),9,5,9,23
5,Japan (JPN),7,7,4,18
6,Hungary (HUN),6,4,5,15
7,Finland (FIN),5,8,12,25
8,Great Britain (GBR),4,7,5,16
9,Germany (GER),3,12,5,20
10,Australia (AUS),3,1,1,5
11,Argentina (ARG),3,1,0,4
12,Canada (CAN),2,5,8,15
13,Netherlands (NED),2,5,0,7
14,Poland (POL),2,1,4,7
15,South Africa (RSA),2,0,3,5
16,Ireland (IRL),2,0,0,2
17,Czechoslovakia (TCH),1,2,1,4
18,Austria (AUT),1,1,3,5
19,India (IND),1,0,0,1
20,Denmark (DEN),0,3,3,6
21,Mexico (MEX),0,2,0,2
22,Latvia (LAT),0,1,0,1
22,New Zealand (NZL),0,1,0,1
22,Switzerland (SUI),0,1,0,1
25,Philippines (PHI),0,0,3,3
26,Spain (ESP),0,0,1,1
26,Uruguay (URU),0,0,1,1
