Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),43,29,31,103
2,United States (USA),34,21,16,71
3,Italy (ITA),13,10,13,36
4,United Team of Germany (EUA),12,19,11,42
5,Australia (AUS),8,8,6,22
6,Turkey (TUR),7,2,0,9
7,Hungary (HUN),6,8,7,21
8,Japan (JPN),4,7,7,18
9,Poland (POL),4,6,11,21
10,Czechoslovakia (TCH),3,2,3,8
11,Romania (ROU),3,1,6,10
12,Great Britain (GBR),2,6,12,20
13,Denmark (DEN),2,3,1,6
14,New Zealand (NZL),2,0,1,3
15,Bulgaria (BUL),1,3,3,7
16,Sweden (SWE),1,2,3,6
17,Finland (FIN),1,1,3,5
18,Austria (AUT),1,1,0,2
18,Yugoslavia (YUG),1,1,0,2
20,Pakistan (PAK),1,0,1,2
21,Ethiopia (ETH),1,0,0,1
21,Greece (GRE),1,0,0,1
21,Norway (NOR),1,0,0,1
24,Switzerland (SUI),0,3,3,6
25,France (FRA),0,2,3,5
26,Belgium (BEL),0,2,2,4
27,Iran (IRI),0,1,3,4
28,Netherlands (NED),0,1,2,3
28,South Africa (RSA),0,1,2,3
30,Argentina (ARG),0,1,1,2
30,Egypt (EGY),0,1,1,2
32,Canada (CAN),0,1,0,1
32,Formosa (ROC),0,1,0,1
32,Ghana (GHA),0,1,0,1
32,India (IND),0,1,0,1
32,Morocco (MAR),0,1,0,1
32,Portugal (POR),0,1,0,1
32,Singapore (SIN),0,1,0,1
39,Brazil (BRA),0,0,2,2
39,British West Indies (BWI),0,0,2,2
41,Iraq (IRQ),0,0,1,1
41,Mexico (MEX),0,0,1,1
41,Spain (ESP),0,0,1,1
41,Venezuela (VEN),0,0,1,1
