Rank,Team,Gold,Silver,Bronze,Total
1,Unified Team (EUN),45,38,29,112
2,United States (USA),37,34,37,108
3,Germany (GER),33,21,28,82
4,China (CHN),16,22,16,54
5,Cuba (CUB),14,6,11,31
6,Spain (ESP),13,7,2,22
7,South Korea (KOR),12,5,12,29
8,Hungary (HUN),11,12,7,30
9,France (FRA),8,5,16,29
10,Australia (AUS),7,9,11,27
11,Canada (CAN),7,4,7,18
12,Italy (ITA),6,5,8,19
13,Great Britain (GBR),5,3,12,20
14,Romania (ROU),4,6,8,18
15,Czechoslovakia (TCH),4,2,1,7
16,North Korea (PRK),4,0,5,9
17,Japan (JPN),3,8,11,22
18,Bulgaria (BUL),3,7,6,16
19,Poland (POL),3,6,10,19
20,Netherlands (NED),2,6,7,15
21,Kenya (KEN),2,4,2,8
22,Norway (NOR),2,4,1,7
23,Turkey (TUR),2,2,2,6
24,Indonesia (INA),2,2,1,5
25,Brazil (BRA),2,1,0,3
26,Greece (GRE),2,0,0,2
27,Sweden (SWE),1,7,4,12
28,New Zealand (NZL),1,4,5,10
29,Finland (FIN),1,2,2,5
30,Denmark (DEN),1,1,4,6
31,Morocco (MAR),1,1,1,3
32,Ireland (IRL),1,1,0,2
33,Ethiopia (ETH),1,0,2,3
34,Algeria (ALG),1,0,1,2
34,Estonia (EST),1,0,1,2
34,Lithuania (LTU),1,0,1,2
37,Switzerland (SUI),1,0,0,1
38,Jamaica (JAM),0,3,1,4
38,Nigeria (NGR),0,3,1,4
40,Latvia (LAT),0,2,1,3
41,Austria (AUT),0,2,0,2
41,Namibia (NAM),0,2,0,2
41,South Africa (RSA),0,2,0,2
44,Belgium (BEL),0,1,2,3
44,Croatia (CRO),0,1,2,3
44,Independent Olympic Participants (IOP),0,1,2,3
44,Iran (IRI),0,1,2,3
48,Israel (ISR),0,1,1,2
49,Chinese Taipei (TPE),0,1,0,1
49,Mexico (MEX),0,1,0,1
49,Peru (PER),0,1,0,1
52,Mongolia (MGL),0,0,2,2
52,Slovenia (SLO),0,0,2,2
54,Argentina (ARG),0,0,1,1
54,Bahamas (BAH),0,0,1,1
54,Colombia (COL),0,0,1,1
54,Ghana (GHA),0,0,1,1
54,Malaysia (MAS),0,0,1,1
54,Pakistan (PAK),0,0,1,1
54,Philippines (PHI),0,0,1,1
54,Puerto Rico (PUR),0,0,1,1
54,Qatar (QAT),0,0,1,1
54,Suriname (SUR),0,0,1,1
54,Thailand (THA),0,0,1,1
