Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),49,41,35,125
2,East Germany (GDR),40,25,25,90
3,United States (USA),34,35,25,94
4,West Germany (FRG),10,12,17,39
5,Japan (JPN),9,6,10,25
6,Poland (POL),7,6,13,26
7,Bulgaria (BUL),6,9,7,22
8,Cuba (CUB),6,4,3,13
9,Romania (ROU),4,9,14,27
10,Hungary (HUN),4,5,13,22
11,Finland (FIN),4,2,0,6
12,Sweden (SWE),4,1,0,5
13,Great Britain (GBR),3,5,5,13
14,Italy (ITA),2,7,4,13
15,France (FRA),2,3,4,9
16,Yugoslavia (YUG),2,3,3,8
17,Czechoslovakia (TCH),2,2,4,8
18,New Zealand (NZL),2,1,1,4
19,South Korea (KOR),1,1,4,6
20,Switzerland (SUI),1,1,2,4
21,Jamaica (JAM),1,1,0,2
21,North Korea (PRK),1,1,0,2
21,Norway (NOR),1,1,0,2
24,Denmark (DEN),1,0,2,3
25,Mexico (MEX),1,0,1,2
26,Trinidad and Tobago (TRI),1,0,0,1
27,Canada (CAN),0,5,6,11
28,Belgium (BEL),0,3,3,6
29,Netherlands (NED),0,2,3,5
30,Portugal (POR),0,2,0,2
30,Spain (ESP),0,2,0,2
32,Australia (AUS),0,1,4,5
33,Iran (IRI),0,1,1,2
34,Mongolia (MGL),0,1,0,1
34,Venezuela (VEN),0,1,0,1
36,Brazil (BRA),0,0,2,2
37,Austria (AUT),0,0,1,1
37,Bermuda (BER),0,0,1,1
37,Pakistan (PAK),0,0,1,1
37,Puerto Rico (PUR),0,0,1,1
37,Thailand (THA),0,0,1,1
