Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),45,28,34,107
2,Soviet Union (URS),29,32,30,91
3,Japan (JPN),11,7,7,25
4,Hungary (HUN),10,10,12,32
5,East Germany (GDR),9,9,7,25
6,France (FRA),7,3,5,15
7,Czechoslovakia (TCH),7,2,4,13
8,West Germany (FRG),5,11,10,26
9,Australia (AUS),5,7,5,17
10,Great Britain (GBR),5,5,3,13
11,Poland (POL),5,2,11,18
12,Romania (ROU),4,6,5,15
13,Italy (ITA),3,4,9,16
14,Kenya (KEN),3,4,2,9
15,Mexico (MEX),3,3,3,9
16,Yugoslavia (YUG),3,3,2,8
17,Netherlands (NED),3,3,1,7
18,Bulgaria (BUL),2,4,3,9
19,Iran (IRI),2,1,2,5
20,Sweden (SWE),2,1,1,4
21,Turkey (TUR),2,0,0,2
22,Denmark (DEN),1,4,3,8
23,Canada (CAN),1,3,1,5
24,Finland (FIN),1,2,1,4
25,Ethiopia (ETH),1,1,0,2
25,Norway (NOR),1,1,0,2
27,New Zealand (NZL),1,0,2,3
28,Tunisia (TUN),1,0,1,2
29,Pakistan (PAK),1,0,0,1
29,Venezuela (VEN),1,0,0,1
31,Cuba (CUB),0,4,0,4
32,Austria (AUT),0,2,2,4
33,Switzerland (SUI),0,1,4,5
34,Mongolia (MGL),0,1,3,4
35,Brazil (BRA),0,1,2,3
36,Belgium (BEL),0,1,1,2
36,South Korea (KOR),0,1,1,2
36,Uganda (UGA),0,1,1,2
39,Cameroon (CMR),0,1,0,1
39,Jamaica (JAM),0,1,0,1
41,Argentina (ARG),0,0,2,2
42,Greece (GRE),0,0,1,1
42,India (IND),0,0,1,1
42,Taiwan (ROC),0,0,1,1
