Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),50,27,22,99
2,United States (USA),33,31,30,94
3,East Germany (GDR),20,23,23,66
4,West Germany (FRG),13,11,16,40
5,Japan (JPN),13,8,8,29
6,Australia (AUS),8,7,2,17
7,Poland (POL),7,5,9,21
8,Hungary (HUN),6,13,16,35
9,Bulgaria (BUL),6,10,5,21
10,Italy (ITA),5,3,10,18
11,Sweden (SWE),4,6,6,16
12,Great Britain (GBR),4,5,9,18
13,Romania (ROU),3,6,7,16
14,Cuba (CUB),3,1,4,8
14,Finland (FIN),3,1,4,8
16,Netherlands (NED),3,1,1,5
17,France (FRA),2,4,7,13
18,Czechoslovakia (TCH),2,4,2,8
19,Kenya (KEN),2,3,4,9
20,Yugoslavia (YUG),2,1,2,5
21,Norway (NOR),2,1,1,4
22,North Korea (PRK),1,1,3,5
23,New Zealand (NZL),1,1,1,3
24,Uganda (UGA),1,1,0,2
25,Denmark (DEN),1,0,0,1
26,Switzerland (SUI),0,3,0,3
27,Canada (CAN),0,2,3,5
28,Iran (IRI),0,2,1,3
29,Belgium (BEL),0,2,0,2
29,Greece (GRE),0,2,0,2
31,Austria (AUT),0,1,2,3
31,Colombia (COL),0,1,2,3
33,Argentina (ARG),0,1,0,1
33,Lebanon (LIB),0,1,0,1
33,Mexico (MEX),0,1,0,1
33,Mongolia (MGL),0,1,0,1
33,Pakistan (PAK),0,1,0,1
33,South Korea (KOR),0,1,0,1
33,Tunisia (TUN),0,1,0,1
33,Turkey (TUR),0,1,0,1
41,Brazil (BRA),0,0,2,2
41,Ethiopia (ETH),0,0,2,2
43,Ghana (GHA),0,0,1,1
43,India (IND),0,0,1,1
43,Jamaica (JAM),0,0,1,1
43,Niger (NIG),0,0,1,1
43,Nigeria (NGR),0,0,1,1
43,Spain (ESP),0,0,1,1
