Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),22,18,16,56
2,Germany (GER),10,7,14,31
3,Finland (FIN),8,8,9,25
4,Sweden (SWE),7,6,12,25
5,Italy (ITA),7,5,7,19
6,Switzerland (SUI),7,4,4,15
7,France (FRA),6,10,5,21
8,Netherlands (NED),6,9,4,19
9,Hungary (HUN),4,5,0,9
10,Canada (CAN),4,4,7,15
11,Great Britain (GBR),3,10,7,20
12,Argentina (ARG),3,3,1,7
13,Denmark (DEN),3,1,2,6
14,Czechoslovakia (TCH),2,5,2,9
15,Japan (JPN),2,2,1,5
16,Estonia (EST),2,1,2,5
17,Egypt (EGY),2,1,1,4
18,Austria (AUT),2,0,1,3
19,Australia (AUS),1,2,1,4
19,Norway (NOR),1,2,1,4
21,Poland (POL),1,1,3,5
21,Yugoslavia (YUG),1,1,3,5
23,South Africa (RSA),1,0,2,3
24,India (IND),1,0,0,1
24,Ireland (IRL),1,0,0,1
24,New Zealand (NZL),1,0,0,1
24,Spain (ESP),1,0,0,1
24,Uruguay (URU),1,0,0,1
29,Belgium (BEL),0,1,2,3
30,Chile (CHI),0,1,0,1
30,Haiti (HAI),0,1,0,1
32,Philippines (PHI),0,0,1,1
32,Portugal (POR),0,0,1,1
